S/No,Zone / State Office,Stakeholder Type,State/City,Notes,Office Address,MANDATE (Applies to all Zonal & State Mines Offices),VALUE CHAIN ROLE
12,Bayelsa Mines Office,MMSD State Office,"Yenagoa, Bayelsa State",,"Otiotio Road, Yenezuegene No. BGIS 692 Yanagoa, Bayelsa State",,
13,Benue Mines Office,MMSD State Office,"Makurdi, Benue State",,"Federal Sec. Complex, Makurdi. Benue State.",,
14,Cross River Mines Office,MMSD State Office,"Calabar, Cross River State",,"Federal Sec. Complex, P.M.B 1060, Calabar. Cross River State.",,
15,Delta Mines Office,MMSD State Office,"Asaba, Delta State",,"Fed. Sec Complex, Okpnama Road, Asaba, Delta State",,
16,Ebonyi Mines Office,MMSD State Office,"Abakaliki, Ebonyi State",,"No. 3, Nwaele Street, GRA By CBN Office, Abakaliki, Ebonyi State.",,
17,Ekiti Mines Office,MMSD State Office,"Ado-Ekiti, Ekiti State",,"Block 11/12, Ayo Fayose Housing Estate, Afao Rd. Ado Ekiti, Ekiti State.",,
18,FCT Mines Office,MMSD State Office,"Abuja, FCT",,"No. 10 Lola Close, Off Luanda Crescent, Behind Ministry of Mines and Steel Dev. Complex, FCT, Abuja",,
19,Gombe Mines Office,MMSD State Office,"Gombe, Gombe State",,Federal Secretariat Biu Rd. (Beside PHCN Pantami undertaking Office) Gombe. Gombe State.,,
20,Imo Mines Office,MMSD State Office,"Owerri, Imo State",,"Federal Sec. Complex, PortHarcourt Express way, Owerri, Imo State.",,
21,Jigawa Mines Office,MMSD State Office,"Dutse, Jigawa State",,"Federal Sec. Complex, Dutse. Jigawa State.",,
22,Kano Mines Office,MMSD State Office,"Kano, Kano State",,No. 2 Zaria Rd. Beside Unity Bank H/Qtrs. Kano. Kano State.,,
23,Katsina Mines Office,MMSD State Office,"Katsina, Katsina State",,Federal Sec. Complex. Katsina. Katsina State.,,
24,Kebbi Mines Office,MMSD State Office,"Birnin Kebbi, Kebbi State",,C/o Kebbi State Ministry of Environment Haliru Audu Secretariat Brinin Kebbi. Kebbi State,,
25,Kogi Mines Office,MMSD State Office,"Lokoja, Kogi State",,"No. 9 Sam Akoji Avenue, Lokongoma, Phase 2 Lokoja, Kogi State",,
26,Kwara Mines Office,MMSD State Office,"Ilorin, Kwara State",,"Federal Secretariat Complex, Fate Rd., Ilorin. Kwara State.",,
27,Lagos Mines Office,MMSD State Office,"Ikeja, Lagos State",,"6th Floor, Glass house, Fed. Min. of Works complex, Moloney Street, Lagos State.",,
28,Nasarawa Mines Office,MMSD State Office,"Lafia, Nasarawa State",,"54, Jos Road, P.M.B .99, Lafia. Nasarawa State",,
29,Niger Mines Office,MMSD State Office,"Minna, Niger State",,"Federal Sec. Complex, P.M.B. 172 Minna. Niger State.",,
30,Ogun Mines Office,MMSD State Office,"Abeokuta, Ogun State",,"4th Floor Room 4.16, Federal Secretariat Complex, Oke-Mosan, Abeokuta, Ogun State",,
31,Ondo Mines Office,MMSD State Office,"Akure, Ondo State",,"Federal Sec. Complex, Igbatoro Rd. Akure, Ondo State.",,
32,Osun Mines Office,MMSD State Office,"Osogbo, Osun State",,"Km 7, New Ikirun Rd., Ota-Efun, Oshogbo. Osun State.",,
33,Rivers Mines Office,MMSD State Office,"Port Harcourt, Rivers State",,"Federal Sec. Complex, Aba Road. Port Harcourt, Rivers State",,
34,Sokoto Mines Office,MMSD State Office,"Sokoto, Sokoto State",,"No. 4 Abdulrahman Alzaid Road, Sokoto, Sokoto State.",,
35,Taraba Mines Office,MMSD State Office,"Jalingo, Taraba State",,"No. 54 Donga Road, Jalingo, Taraba State.",,
36,Yobe Mines Office,MMSD State Office,"Damaturu, Yobe State",,"Federal Sec. Complex, Damaturu. Yobe State",,
37,Zamfara Mines Office,MMSD State Office,"Gusau, Zamfara State",,"Block G2, Commissioner Quarters, Gusau-Sokoto Bypass, Gusau, Zamfara State.",,
