Policy  Name,Policy Family / Cluster ,Policy Type,Year Introduced ,Status,Jurisdiction ,Policy Summary ,Institutional Responsibility,Value Chain Stage,ESG / Due Diligence Elements,Governance & Political Economy Issues,Implementation Challenges,Stakeholders Impacted by the Policy ,Reform Priority,Links ,Source Type,Last Verified
Community Development Agreements,Social Governance,,2011,Required for large-scale mining,Federal + Communities,"Mandatory agreements between mining companies and host communities outlining benefits, compensation, employment and social investment obligations.","MMSD, Companies, Communities",Upstream,"Social safeguards, benefit-sharing","Weak monitoring, elite capture within communities","Poor enforcement, dispute resolution gaps","Communities, companies, state govts",High,,Regulatory Requirement,December 2025
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://www.iea.org/policies?topic[]=Critical+Minerals,,,,,
