State,Organisation Name,Stakeholder Type,Company Size,Mineral Commodities,Value Chain Role,Website,Current Critical Mineral Project,Notes,
Nasarawa,Hasetins Commodities Ltd ( REE Plant),Critical Minerals Processing Company,Large,"Rare Earth Elements (REE), PGMs",Processing and value-addition plant,,Developing a $400m rare earth and critical minerals processing facility in Nasarawa State.,"Flagship African REE processing hub targeting monazite-rich concentrates from Plateau, Benue, Nasarawa and Cross River.",
Plateau,Hasetins Commodities Ltd (Supply Agreements),Critical Minerals Processor / Off-taker,Large,Rare Earth Elements (Monazite),Off-take and processing,,Expected to source monazite-bearing heavy mineral sands from Plateau’s historic tin fields for processing in Nasarawa.,Links legacy tin tailings to new REE value chains.,
Benue,Hasetins Commodities Ltd (Supply Agreements),Critical Minerals Processor / Off-taker,Large,Rare Earth Elements,"Supply, aggregation and beneficiation",,Targeting REE-bearing sands and concentrates from Benue for processing in Nasarawa.,Transforms scattered REE resources into a coherent value chain.,
Cross River,Hasetins Commodities Ltd (Coastal Sands REE Initiative),Critical Minerals Processor / Off-taker,Large,Rare Earth Elements,Off-take and processing of coastal sand concentrates,,Exploring supply relationships for monazite-bearing coastal sands in Cross River.,Draws on evidence of REE-rich beach sands as a low-impact source.,
Plateau,Mexcon Metals Ltd (Plateau Tin Project),Junior Mining Company,Medium,"Tin, Niobium (Columbite-Tantalite)",Mining and concentrate production,https://mexconmetals.com,"Developing a tin concentrate project on three concessions in the Jos Plateau region, historically mined for tin and columbite.",Part of efforts to revive Nigeria’s tin sector with modern processing.,
Plateau,Multiverse Mining & Exploration Plc,Public Nigerian Mining Company,Medium,"Tin, Columbite, Other metallics","Exploration, mining and processing",https://www.multiverseplc.com,Operates tin and columbite projects in Plateau and Nasarawa States with associated critical minerals.,One of the few Nigeria-listed mining companies with exposure to critical metals.,
Nasarawa,Multiverse Mining & Exploration Plc,Public Nigerian Mining Company,Medium,"Tin, Columbite, Other metallics",Mining and processing,https://www.multiverseplc.com,Holds mineral titles in Nasarawa that include tin-columbite and associated minerals.,Links central Nigerian tin belts into formal corporate operations.,
Osun,Thor Explorations – Segilola Resources Operating Ltd,Gold Mining Company,Large,Gold,"Open-pit mining, processing and export of gold doré",https://thorexpl.com,"Operates the Segilola Gold Mine near Ilesha, Nigeria’s first commercial-scale modern gold mine.",Anchor gold producer and key reference project for Nigeria’s precious metals sector.,
Kogi,Tree Mines Global – Kabba-Bunu Gold Project,Nigerian Mining Company,Medium,Gold,Small-scale mining and early-stage development,https://treeminesglobal.com,Developing small-scale gold mining operations in Kabba-Bunu area under a mining lease.,Blends formal licensing with ASM integration in North-Central Nigeria.,
Plateau,Various Small & Medium Tin/Columbite Operators (Jos Plateau Cluster),Multiple ASM / SMEs,Small/Medium,"Tin, Niobium (Columbite-Tantalite)",Alluvial / hard-rock mining and primary concentration,,"Numerous small and medium-scale operators work historic tin and columbite fields around Jos, Barkin Ladi and Riyom.",Feedstock for prospective REE recovery and tin value-addition projects.,
Abuja (Operates across North-Central),Kursi Group,Private Mining & Mineral Investment Group,Medium,"Gold, Lithium, Gemstones, Industrial Minerals",Exploration → Mining → Mineral Trading,,Mineral exploration and ASM formalisation initiatives,Nigerian-owned mineral investment and development company,
Kaduna State,Kaduna Mining Development Company (KMDC),State-Owned Mining Company,Medium,"Gold, Nickel, Lithium, Clay, Feldspar",Mining → Licensing → ASM Integration,https://nasida.na.gov.ng,State-led mineral development and PPP mining ventures,Coordinates and promotes Kaduna State's mineral assets,
"Lafia, Nasarawa State",Nasarawa Investment & Development Agency (NASIDA),State Investment & Development Agency,Large,"Lithium, REE, Tin, Columbite, Barite",Investment Facilitation → PPPs → Mineral Value Chain Expansion,https://anrml.com,"Facilitating over $600m lithium & REE investments (Jiuling, Avatar, Hasetins)",Key driver of Nasarawa’s rapid critical minerals growth,
"Gujeni, Kagarko LGA, Kaduna State",African Natural Resources and Mines Ltd. (ANRML),Large Mining & Steel Processing Company,Large,Iron Ore,Mining → Processing → Steel Production,https://niomco.gov.ng,$600m Integrated Iron Ore & DRI Steel Plant,Nigeria’s most modern iron ore and DRI steel operation,
"Itakpe, Kogi State","National Iron Ore Mining Company (NIOMCO), Itakpe",Federal Government Mining Company,Large,Iron Ore,Iron ore mining → Beneficiation → Steel feedstock,https://ajaokutasteel.com,Rehabilitation of Itakpe concentrator; supply to ASCL,Nigeria’s primary government-owned iron ore mine,
"Ajaokuta, Kogi State",Ajaokuta Steel Company Limited (ASCL),Federal Government Steel Corporation,Large,"Steel (iron ore, limestone, coal inputs)",Steel Production → Metal Value Chain,,Ongoing rehabilitation and concession reform,Nigeria’s flagship steel development complex,
Kogi,Eta-Zuma Group (Zuma Mining),Mining Company,Large,"Coal, Limestone","Extraction, Processing",https://www.etazuma.com,Coal mining in Kogi,Integrated mining & power,
Kaduna, African Natural Resources & Mines Ltd,Mining Company,Large,Iron Ore,"Extraction, Value Addition",https://www.anrml.com,Kaduna Iron Ore & Steel,Integrated steel plant,
Osun,Kian Smith Refinery,Processing/Refining,Medium,Gold,Refining,https://www.kiansmithtradeco.com,Gold refining,Lagos refinery initiative,
Plateau,Multiverse Mining & Exploration,Mining Company,Medium,"Lead, Zinc, Granite",Extraction,http://www.multiverseplc.com,Lead–Zinc projects,NSE-listed,
Bauchi,Symbol Mining,Mining Company,Medium,"Zinc, Lead",Extraction,https://symbolmining.com.au,Macy & Tawny Projects,Australian junior,
Nationwide,Dangote Mining Division,Mining Company,Large,"Limestone, Gypsum",Extraction,https://www.dangote.com,Cement raw materials,Multiple states,
Kaduna/Niger,AG Vision Mining Ltd,Exploration,Medium,"Gold, Base Metals",Exploration,https://www.agvisionmining.com,Gold exploration,Foreign-backed,
Abuja,PW Nigeria Ltd (PW Mining International),Mining Contractor,Large,Multi-mineral,Contract Mining,https://www.pwnigeria.com,Mining civils,Regional contractor,
Kaduna,CIBI Nigeria Ltd,Quarrying,Medium,Granite,Extraction,https://www.cibi-nigeria.com,Dimension stones,Largest granite company,
Lagos,Nigachem Nigeria Ltd,Mining Services,Medium,Explosives,Input Supplier,https://www.nigachem.com,Supplies blasting explosives,Major explosives manufacturer,
Abuja,Red Mining Company Ltd,Mining Company,Medium,"Gold, Gemstones","Extraction, Exploration",,Gold exploration,Lusha-recorded company,
Ebonyi,Greenfield Metals Ltd,Mining Company,Medium,"Lead, Zinc",Extraction,https://greenfieldmetals.com,Lead–Zinc mining,Active in SE Nigeria,
Kogi/Niger,Mosra Enerji Ltd,Mining & Energy,Medium,Coal,Extraction,https://mosraenerji.com,Coal extraction,Major contractor,
Abuja,Japaul Gold & Ventures plc,Mining/Services,Medium,Gold,"Extraction, Processing",https://japaulgroup.com,Nasarawa gold,Diversified from marine to mining,
Lagos,Mantrac Nigeria Ltd,Equipment Supplier,Large,Mining Equipment,Supply/Distribution,https://www.mantracgroup.com,Equipment supply,CAT distributor,
Abuja,Resource House Ltd,Mining Company,Small/Medium,Gold,Exploration,,Gold exploration,Junior mining firm,
Abuja,Echelon Mining & Energy Ltd,Mining Company,Medium,"Gold, Lithium",Exploration,,Lithium exploratory claims,Active in North-Central,
Kogi,Zuma Energy Nigeria Ltd,Mining/Energy,Large,Coal,Extraction,,Coal operations,Subsidiary of Zuma Group,
Ogun,Rockbridge Mining Nigeria Ltd,Quarrying,Medium,Granite,Extraction,,Granite quarrying,Listed on Lusha,
Ogun,Western Quarry Ltd,Quarrying,Medium,"Granite, Stones",Extraction,,Construction aggregates,Active supplier,
Abuja,SBOG Nigeria Ltd,Mining Company,Medium,"Lead, Zinc",Extraction,,Lead–Zinc,Appears in multiple directories,
Ogun,Quarrymen Ltd,ASM/Quarrying,Small,Granite,Extraction,—,Granite quarrying,Regional supplier,
Kaduna,Hasen–Nigerian Mining Co.,ASM,Small,Gold,Extraction,—,Gold pits,Active ASM,
Nasarawa,Zigma Explorers,Junior Mining,Small,"Lithium, Gold",Exploration,—,Lithium exploration,Active in Nasarawa lithium belts,
Abuja,Global Exploration & Mining Services,Mining Services,Small,Multi-mineral,Exploration Support,—,Lithology/geochem support,Provides exploration logistics,
Niger,Brightway Mining Ltd,ASM,Small,Gold,Extraction,—,ASM gold,Informal operations,
Plateau,Amachy Mining Ltd,ASM,Small,Gemstones,Extraction,—,"Tourmaline, Aquamarine",Plateau gemstone belts,
Kogi,Kabba Mines Ltd,ASM,Small,"Tantalite, Gold",Extraction,—,Tantalite ASM,Located in Kabba-Bunu,https://www.lusha.com/company-search/mining/563d116927/nigeria/80/
